Date,1m-Libor,EWJ,GLD,MUB,VNQ,DBA,EWL,GOVT,QQQ,VNQI,EWA,EWQ,GWX,SPY,VWO,EWC,EWT,HYEM,TIP,VWOB,EWG,EWU,HYG,UNG,WIP,EWH,EWY,IWM,USO
11/2/2017,1.24212,55.49209595,121.1900024,100.9598618,71.2798233,18.90751839,31.89220047,23.41345024,147.6305695,50.59462357,19.60160637,29.1256752,30.75662422,239.956604,40.48360062,26.52638626,34.21922684,19.67538452,103.1212158,67.46878815,30.52395821,29.98898697,72.03921509,24.12000084,49.32850266,22.1629982,70.58849335,141.513092,87.91999817
11/3/2017,1.24322,55.62365341,120.6200027,101.1059494,71.10012054,18.91725922,31.96604538,23.44135475,149.0503235,50.48504639,19.49072075,29.01461411,30.84302139,240.7577362,40.24907303,26.65457916,34.19216919,19.49320221,103.1936646,67.16799927,30.42373085,29.99759293,72.04742432,24.47999954,49.0047226,22.10118675,70.51406097,141.4179077,89.44000244
11/6/2017,1.24424,55.61425781,121.6500015,101.2063904,71.57929993,18.93674088,31.94758224,23.44135475,149.5560455,50.42603302,19.56748772,28.98685074,31.05900764,241.1303406,40.63695526,26.85602188,34.264328,19.48528481,103.3657227,66.90904236,30.37817001,30.18696594,72.05558014,25.52000046,49.31098938,22.08352661,70.63500977,141.5796661,92.08000183
11/7/2017,1.24389,56.05593872,121.2099991,101.4619904,72.16118622,18.94648361,31.71681595,23.45994759,149.6435699,50.45975113,19.53336906,28.77398682,30.94669724,240.9627075,40.38437653,26.80108643,34.18315125,19.45360374,103.510643,66.66674805,30.13215637,29.9631691,71.85088348,25.87999916,49.32850266,22.18065453,69.76045227,139.8858032,91.91999817
11/8/2017,1.24606,56.40364456,121.6299973,101.4893799,72.52058411,18.86855507,31.79989433,23.45064926,150.2465057,50.69578171,19.72102356,28.76473236,31.10220718,241.3725433,40.52870178,26.87433624,34.24628448,19.45360374,103.447258,66.73361969,30.23238373,29.94594955,71.53149414,25.87999916,49.53852463,22.3837471,70.50474548,140.0761566,91.27999878
11/9/2017,1.24494,55.93377304,122.1299973,101.3981094,72.59759521,18.82958984,31.6798954,23.44135475,149.458786,50.64520264,19.76367188,28.49633408,30.88621521,240.4968872,40.3753624,26.92927361,33.91257477,19.4456768,103.4291229,66.53310394,29.90436363,29.87708855,71.17936707,26.36000061,49.51225662,22.33076668,69.50923157,139.5813141,91.68000031
11/10/2017,1.24606,55.52028656,121.1299973,101.1059494,72.67462158,18.85881233,31.52297401,23.35766411,149.4490509,50.57776642,19.76367188,28.45931244,30.79118347,240.4223633,40.22201538,26.8468647,33.87649918,19.46944237,102.9763031,66.50800323,29.83147812,29.81683159,71.33496094,26.44000053,49.42475128,22.47204208,69.23012543,139.4766693,91.36000061
11/13/2017,1.25028,55.27594376,121.3099976,101.1059494,73.04257965,18.79062653,31.53219986,23.3483696,149.6338196,50.39231491,19.62719727,28.27421188,30.68751144,240.6459656,40.14083481,26.73698807,33.86747742,19.47735786,102.9672546,66.64168549,29.76769066,29.59304047,71.28582001,25.84000015,49.18850327,22.64864159,69.06265259,139.5146942,91.04000092
11/14/2017,1.2635,54.98463058,121.5599976,101.0511703,72.88854218,18.63476563,31.57835388,23.37626457,149.0892334,50.38388443,19.40542412,28.43154716,30.67886734,240.0870209,39.87022781,26.56301498,33.76826477,19.41399384,103.0940399,66.54981232,29.93169785,29.61885643,70.98284149,25.31999969,49.26724625,22.63981056,69.17429352,139.1340485,89.04000092
11/15/2017,1.266,54.58054352,121.4100037,101.1881256,72.15264893,18.59580231,31.41219711,23.45064926,148.3890686,50.17314148,19.34571266,28.32048798,30.47152138,238.8853302,39.54547882,26.46229172,33.57886124,19.42191124,103.3838348,66.68347168,29.71302032,29.47253036,70.98284149,25.31999969,49.37226486,22.4808712,69.5929718,138.5821228,88.72000122
11/16/2017,1.28267,55.42631531,121.4000015,101.0877075,72.75161743,18.56657982,31.57835388,23.37626457,150.2854004,50.61992264,19.47365761,28.55186462,30.83437538,240.9160767,40.24907303,26.57217026,33.97570801,19.53280449,103.1665115,66.85889435,29.94992447,29.61885643,71.6789093,25.23999977,49.47726822,22.60448837,71.33280182,140.6185455,88.55999756
11/17/2017,1.28719,55.15378571,122.8600006,101.0329132,72.43502808,18.58606148,31.74450684,23.41345024,149.7116394,50.39231491,19.30306244,28.43154716,30.70479393,240.2081451,40.47458649,26.59963799,34.06590652,19.52488136,103.3476105,66.91738892,29.80413818,29.64467812,71.62978363,25.60000038,49.7572937,22.45438385,70.91413116,141.2656403,90.80000305
11/20/2017,1.29418,55.42631531,121.3099976,100.9324875,72.22109985,18.50813293,31.9568119,23.3948555,149.5949097,50.5018959,19.34571266,28.4037838,30.92941666,240.617981,40.64597321,26.59048462,34.00276947,19.51696587,103.1936646,66.89234161,29.82236099,29.69632912,71.64611053,24.95999908,49.72228241,22.57800102,71.01647186,142.2933807,90.23999786
11/21/2017,1.31287,55.93377304,121.5100021,100.9051056,72.76017761,18.51787376,32.1414299,23.3948555,151.2189331,50.94866943,19.46512985,28.57037544,31.16268349,242.1923065,41.15110779,26.71867371,34.45373535,19.52488136,103.1846008,66.9758606,30.10482025,29.80822945,71.7935791,24.79999924,49.89731598,22.95768929,71.73287201,143.7778625,91.19999695
11/22/2017,1.3275,55.97136688,122.6299973,100.7407303,72.59759521,18.67373085,32.28911972,23.45994759,151.4037323,51.0751152,19.56748772,28.69994545,31.34410667,241.9780426,41.28642273,26.91096115,34.56196594,19.54072189,103.4925003,67.25157166,29.90436363,30.03202438,71.9081955,24.39999962,50.17733383,22.97534752,72.02129364,143.5875397,92.80000305
11/24/2017,1.33756,56.43183899,122.3199997,100.5672531,72.69171906,18.64450645,32.50143051,23.4227581,151.9580078,51.27742386,19.55895805,29.15344238,31.52554321,242.5369873,41.1330719,26.92927361,34.63412476,19.52488136,103.3657227,67.15130615,30.3599472,30.09228134,71.9573288,23.36000061,50.27360535,23.08130264,72.01198578,143.6446533,94.31999969
11/27/2017,1.34676,56.18751144,122.8300018,100.5307541,72.34945679,18.63476563,32.23373795,23.45064926,151.8899384,50.96552658,19.47365761,28.97759438,31.37867165,242.4158936,40.70911789,26.70036125,33.93963623,19.52488136,103.3476105,67.23483276,30.17770958,29.92012596,71.73623657,24.12000084,50.31734467,22.95768929,70.2535553,143.2069397,92.72000122
